year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,318270000000.0,16.85,154500000000.0,,,,,,,,7420000000.0,0.91,8.33,
2025,305450000000.0,16.04,146540000000.0,44.73,94550000000.0,60580000000.0,619000000000.0,343470000000.0,30.2,275520000000.0,7430000000.0,0.7,11.5,8.99
2024,261800000000.0,12.47,113610000000.0,45.17,75530000000.0,67120000000.00001,512159999999.99994,268470000000.00003,33.6,243680000000.0,7430000000.0,0.73,12.2,10.6
2023,227580000000.0,11.1,101210000000.0,43.07,111250000000.0,59960000000.0,411970000000.0,206220000000.0,33.4,205750000000.0,7430000000.0,0.75,12.3,11.7
2022,204090000000.0,9.02,82580000000.0,43.26,104740000000.0,61270000000.0,364840000000.0,166540000000.0,26.0,198290000000.0,7450000000.0,1.08,8.76,9.76
2021,184900000000.0,9.47,79680000000.0,43.7,130250000000.0,67769999999.99999,333770000000.0,141980000000.0,34.4,191790000000.0,7500000000.0,0.71,13.6,15.8
2020,153280000000.0,6.78,60720000000.0,38.9,136490000000.00002,70990000000.0,301310000000.0,118300000000.0,31.5,183000000000.0,7550000000.0,0.98,11.0,12.9
2019,134240000000.00002,5.8,49850000000.0,36.85,133830000000.00002,78360000000.0,286550000000.0,102330000000.0,25.9,184220000000.0,7620000000.0,1.26,8.94,10.9
2018,118450000000.0,4.35,39920000000.0,35.53,133660000000.0,81800000000.0,258839999999.99997,82710000000.0,21.9,176130000000.0,7690000000.0,1.81,6.59,8.47
2017,99980000000.0,1.58,29790000000.0,33.26,132979999999.99998,91560000000.0,250310000000.0,87710000000.0,49.9,162600000000.0,7710000000.0,2.02,6.6,8.42
2016,88890000000.0,2.42,23230000000.0,29.49,113240000000.0,53460000000.0,193460000000.0,71990000000.0,23.1,121470000000.0,7750000000.0,2.62,5.43,7.02
2015,88080000000.0,1.45,16120000000.000002,20.61,96520000000.0,35290000000.0,174470000000.0,80080000000.0,33.6,94380000000.0,7960000000.0,2.65,4.99,5.73
2014,93450000000.0,2.5,27280000000.0,32.73,85700000000.0,22640000000.0,172380000000.0,89780000000.0,15.9,82600000000.0,8220000000.000001,2.9,4.08,4.15
2013,83430000000.0,2.73,28030000000.0,35.3,77020000000.0,15600000000.0,142430000000.0,78940000000.0,11.4,63480000000.0,8320000000.0,3.12,3.72,3.65
2012,72930000000.0,1.84,20020000000.0,30.72,63040000000.0,11940000000.0,121270000000.0,66360000000.0,11.7,54900000000.0,8390000000.000001,3.85,3.07,3.08
2011,72050000000.0,,27880000000.0,40.56,52770000000.0,11920000000.0,108700000000.0,57080000000.0,,51620000000.0,8400000000.0,3.34,3.03,3.41
2010,66690000000.0,,27090000000.0,40.27,36780000000.0,5930000000.0,86110000000.0,46170000000.0,,39930000000.0,8490000000.0,2.58,3.52,4.84
2009,58680000000.0,,21840000000.0,33.98,31440000000.0,5740000000.0,77880000000.0,39550000000.0,,38330000000.0,8850000000.0,2.28,4.58,6.06
2008,61980000000.0,,22400000000.0,39.59,23660000000.0,,72790000000.0,36280000000.0,,36500000000.0,8900000000.0,3.23,2.79,5.02
2007,57890000000.0,,24290000000.0,36.07,23410000000.0,,63170000000.0,31090000000.0,,32070000000.0,9360000000.0,1.6,5.74,9.65
2006,46050000000.0,,17410000000.0,37.2,34159999999.999996,,69590000000.0,40100000000.0,,29490000000.0,9800000000.0,1.75,6.34,7.97
2005,41350000000.0,,17370000000.0,36.6,37750000000.0,,70810000000.0,48110000000.0,,22700000000.0,10560000000.0,1.75,6.57,6.14
2004,38470000000.0,,14920000000.0,24.53,60590000000.0,,94360000000.0,74820000000.0,,19540000000.0,10870000000.0,17.14,7.56,6.16
2003,34259999999.999996,,12270000000.0,29.65,49040000000.0,,81730000000.0,64910000000.0,,16820000000.0,10810000000.0,1.42,8.62,4.26
2002,30780000000.0,,11910000000.0,41.99,38650000000.0,,67640000000.0,52180000000.0,,15460000000.0,,0.0,8.99,4.96
2001,26720000000.0,,9000000000.0,46.33,31600000000.0,,58830000000.0,47280000000.0,,11540000000.0,,0.0,13.4,
2000,23770000000.0,,15030000000.0,,23790000000.0,,,,,,,0.0,,
1999,22610000000.0,,13340000000.0,,17230000000.0,,,,,,,0.0,,
1998,17149999999.999998,,9690000000.0,,3830000000.0,,,,,,,0.0,,
1997,13090000000.0,,6200000000.0,,3700000000.0,,,,,,,0.0,,
1996,9430000000.0,,3800000000.0,,2600000000.0,,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
1986,,,,,,,,,,,,0.0,,
