year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,38470000000.0,1.31,3030000000.0,,,,,,,,1130000000.0,2.38,2.57,
2025,37700000000.0,1.2,2800000000.0,6.74,3460000000.0,26610000000.0,32009999999.999996,,69.9,40100000000.0,1130000000.0,2.91,2.53,-11.4
2024,36140000000.0,3.1,5160000000.0,13.74,3540000000.0,25800000000.0,31330000000.0,,28.9,38780000000.0,1130000000.0,2.59,2.89,-14.0
2023,36680000000.0,3.75,6200000000.0,15.02,3950000000.0,24590000000.0,29440000000.0,,24.5,37430000000.0,1130000000.0,2.35,2.97,-12.7
2022,32909999999.999996,2.9,4800000000.0,13.12,3180000000.0,23800000000.0,27970000000.0,,32.0,36670000000.0,1140000000.0,2.15,3.46,-13.1
2021,30360000000.0,3.73,6070000000.0,18.43,6610000000.0,23600000000.0,31390000000.0,,28.7,36700000000.0,1150000000.0,1.72,4.52,-16.2
2020,23170000000.0,0.56,1290000000.0,4.95,4630000000.0,25250000000.0,29370000000.0,,171.0,37170000000.0,1170000000.0,1.74,5.42,-15.9
2019,26970000000.0,3.11,4990000000.0,16.85,2750000000.0,11160000000.0,19210000000.0,,24.9,25450000000.0,1180000000.0,1.92,3.83,-15.3
2018,25270000000.0,2.28,3950000000.0,23.38,8930000000.0,9440000000.0,24150000000.0,1170000000.0,24.5,22980000000.0,1240000000.0,2.37,3.17,-27.8
2017,22720000000.0,3.07,6280000000.0,19.29,2690000000.0,3930000000.0,14360000000.0,5450000000.0,15.8,8900000000.0,1400000000.0,2.16,3.57,14.1
2016,21670000000.0,1.97,4370000000.0,19.7,2260000000.0,3580000000.0,14310000000.0,5890000000.0,23.4,8420000000.0,1450000000.0,1.84,3.73,13.9
2015,19730000000.0,1.65,3720000000.0,20.37,1610000000.0,2340000000.0,12410000000.0,5810000000.0,29.7,6590000000.0,1480000000.0,1.38,4.52,14.9
2014,17010000000.000002,1.67,3700000000.0,19.21,1840000000.0,2040000000.0,10750000000.0,5270000000.0,19.8,5470000000.0,,1.66,3.62,10.0
2013,15310000000.0,0.07851,3800000.0,-1.55,3230000000.0,1290000000.0,11510000000.0,4480000000.0,397.0,7030000000.0,,1.43,3.87,12.1
2012,13650000000.0,0.95,2140000000.0000002,15.51,2029999999.9999998,540000000.0,8210000000.000001,5110000000.0,22.1,3100000000.0,,1.71,2.94,7.76
2011,12180000000.0,,1900000000.0,15.48,2049999999.9999998,540000000.0,7360000000.0,4380000000.0,,2970000000.0,,1.57,2.83,7.23
2010,10930000000.0,,1600000000.0,13.42,1440000000.0,540000000.0,6380000000.0,3680000000.0,,2700000000.0,,1.47,2.18,5.88
2009,9880000000.0,,860000000.0,5.73,660000000.0,540000000.0,5570000000.0,3050000000.0,,2510000000.0,,0.0,1.74,5.12
2008,10230000000.0,,540000000.0,4.43,320000000.0,1260000000.0,5670000000.0,2490000000.0,,3180000000.0,,0.0,0.6793,2.67
2007,9820000000.0,,1060000000.0,11.22,430000000.0,1260000000.0,5340000000.0,2300000000.0,,3040000000.0,,0.0,1.52,6.56
2006,8199999999.999999,,930000000.0,11.64,450000000.0,700000000.0,4420000000.0,2220000000.0,,2200000000.0,,0.0,3.27,10.9
2005,6710000000.0,,830000000.0,12.5,300000000.0,280000000.0,3510000000.0,2089999999.9999998,,1420000000.0,,0.0,3.48,10.5
2004,5600000000.0,,660000000.0,11.72,650000000.0,4350000.0,3380000000.0,2470000000.0,,910000000.0,,0.0,4.48,8.97
2003,4350000000.0,,470000000.0,10.71,350000000.0,5070000.0,2720000000.0,2080000000.0,,640000000.0,,0.0,3.01,5.84
2002,3480000000.0,,340000000.0,10.38,320000000.0,5780000.0,2210000000.0,1720000000.0,,490000000.0,,0.0,2.27,4.41
2001,2780000000.0,,660000000.0,10.91,220000000.0,68470000.0,1840000000.0,1370000000.0,,470000000.0,,0.0,2.62,
2000,2310000000.0,,53730000.0,,130000000.0,63500000.0,,,,,,0.0,,
1999,1800000000.0,,160000000.0,,110000000.0,71500000.0,,,,,,0.0,,
1998,1390000000.0,,120000000.0,,120000000.0,33600000.0,,,,,,0.0,,
1997,1040000000.0,,100000000.0,,70100000.0,160000000.0,,,,,,0.0,,
1996,760000000.0,,62300000.0,,120000000.0,160000000.0,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
