year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,275235000000.0,Revenues,0000909832-25-000101,USD,True,8099000000.0,NetIncomeLoss,0000909832-25-000101,USD,True,13335000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-25-000101,USD,True,5498000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-25-000101,USD,True,10383000000.0,OperatingIncomeLoss,0000909832-25-000101,USD,True,154000000.0,InterestExpense,0000909832-25-000101,USD,True,2719000000.0,IncomeTaxExpenseBenefit,0000909832-25-000101,USD,True,0.251,EffectiveIncomeTaxRateContinuingOperations,0000909832-25-000101,pure,True,10818000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-25-000101,USD,True,14161000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-25-000101,USD,True,1123000000.0,ShortTermInvestments,0000909832-25-000101,USD,True,,,,,False,78000000.0,FinanceLeaseLiabilityCurrent,0000909832-25-000101,USD,True,1401000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-25-000101,USD,True,29164000000.0,StockholdersEquity,0000909832-25-000101,USD,True,15284000000.0,1479000000.0,7837000000.0,0.2513403586614901,15359000000.0,7773333056.017749,0.5061093206600527,10383000000.0,False,0.028473849619416135,0.967650327200889,True,True,COST,0000909832,ticker:COST,24
2024,254453000000.0,Revenues,0000909832-24-000049,USD,True,7367000000.0,NetIncomeLoss,0000909832-24-000049,USD,True,11339000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-24-000049,USD,True,4710000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-24-000049,USD,True,9285000000.0,OperatingIncomeLoss,0000909832-24-000049,USD,True,169000000.0,InterestExpense,0000909832-24-000049,USD,True,2373000000.0,IncomeTaxExpenseBenefit,0000909832-24-000049,USD,True,0.244,EffectiveIncomeTaxRateContinuingOperations,0000909832-24-000049,pure,True,9740000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-24-000049,USD,True,9906000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-24-000049,USD,True,1238000000.0,ShortTermInvestments,0000909832-24-000049,USD,True,,,,,False,103000000.0,FinanceLeaseLiabilityCurrent,0000909832-24-000049,USD,True,5794000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-24-000049,USD,True,23622000000.0,StockholdersEquity,0000909832-24-000049,USD,True,11144000000.0,5897000000.0,6629000000.0,0.24363449691991787,18375000000.0,7022853696.098562,0.38219611951556803,9285000000.0,False,0.026051962444930892,0.8998235373964979,True,True,COST,0000909832,ticker:COST,24
2023,242290000000.0,Revenues,0000909832-23-000042,USD,True,6292000000.0,NetIncomeLoss,0000909832-23-000042,USD,True,11068000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-23-000042,USD,True,4323000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-23-000042,USD,True,8114000000.0,OperatingIncomeLoss,0000909832-23-000042,USD,True,160000000.0,InterestExpense,0000909832-23-000042,USD,True,2195000000.0,IncomeTaxExpenseBenefit,0000909832-23-000042,USD,True,0.259,EffectiveIncomeTaxRateContinuingOperations,0000909832-23-000042,pure,True,8487000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-23-000042,USD,True,13700000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-23-000042,USD,True,1534000000.0,ShortTermInvestments,0000909832-23-000042,USD,True,,,,,False,1081000000.0,FinanceLeaseLiabilityCurrent,0000909832-23-000042,USD,True,5377000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-23-000042,USD,True,25058000000.0,StockholdersEquity,0000909832-23-000042,USD,True,15234000000.0,6458000000.0,6745000000.0,0.25863084717803697,16282000000.0,6015469305.997408,0.36945518400671956,8114000000.0,False,0.02783854059185274,1.0719961856325493,True,True,COST,0000909832,ticker:COST,24
2022,226954000000.0,Revenues,0000909832-22-000021,USD,True,5844000000.0,NetIncomeLoss,0000909832-22-000021,USD,True,7392000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-22-000021,USD,True,3891000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-22-000021,USD,True,7793000000.0,OperatingIncomeLoss,0000909832-22-000021,USD,True,158000000.0,InterestExpense,0000909832-22-000021,USD,True,1925000000.0,IncomeTaxExpenseBenefit,0000909832-22-000021,USD,True,0.246,EffectiveIncomeTaxRateContinuingOperations,0000909832-22-000021,pure,True,7840000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-22-000021,USD,True,10203000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-22-000021,USD,True,846000000.0,ShortTermInvestments,0000909832-22-000021,USD,True,,,,,False,73000000.0,FinanceLeaseLiabilityCurrent,0000909832-22-000021,USD,True,6484000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-22-000021,USD,True,20642000000.0,StockholdersEquity,0000909832-22-000021,USD,True,11049000000.0,6557000000.0,3501000000.0,0.24553571428571427,16150000000.0,5879540178.571428,0.3640582153914197,7793000000.0,False,0.0154260334693374,0.5990759753593429,True,True,COST,0000909832,ticker:COST,24
2021,195929000000.0,Revenues,0000909832-21-000014,USD,True,5007000000.0,NetIncomeLoss,0000909832-21-000014,USD,True,8958000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-21-000014,USD,True,3588000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-21-000014,USD,True,6708000000.0,OperatingIncomeLoss,0000909832-21-000014,USD,True,171000000.0,InterestExpense,0000909832-21-000014,USD,True,1601000000.0,IncomeTaxExpenseBenefit,0000909832-21-000014,USD,True,0.24,EffectiveIncomeTaxRateContinuingOperations,0000909832-21-000014,pure,True,6680000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-21-000014,USD,True,11258000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-21-000014,USD,True,917000000.0,ShortTermInvestments,0000909832-21-000014,USD,True,7531000000.0,LongTermDebt,0000909832-21-000014,USD,True,799000000.0,FinanceLeaseLiabilityCurrent,0000909832-21-000014,USD,True,6692000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-21-000014,USD,True,17564000000.0,StockholdersEquity,0000909832-21-000014,USD,True,12175000000.0,7531000000.0,5370000000.0,0.23967065868263474,12920000000.0,5100289221.556887,0.39475922767468163,6708000000.0,False,0.027407887551102697,1.072498502097064,True,True,COST,0000909832,ticker:COST,24
2020,166761000000.0,Revenues,0000909832-20-000017,USD,True,4002000000.0,NetIncomeLoss,0000909832-20-000017,USD,True,8861000000.0,NetCashProvidedByUsedInOperatingActivities,0000909832-20-000017,USD,True,2810000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-20-000017,USD,True,5435000000.0,OperatingIncomeLoss,0000909832-20-000017,USD,True,160000000.0,InterestExpense,0000909832-20-000017,USD,True,1308000000.0,IncomeTaxExpenseBenefit,0000909832-20-000017,USD,True,0.244,EffectiveIncomeTaxRateContinuingOperations,0000909832-20-000017,pure,True,5367000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-20-000017,USD,True,12277000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-20-000017,USD,True,1028000000.0,ShortTermInvestments,0000909832-20-000017,USD,True,7657000000.0,LongTermDebt,0000909832-20-000017,USD,True,31000000.0,FinanceLeaseLiabilityCurrent,0000909832-20-000017,USD,True,657000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-20-000017,USD,True,18284000000.0,StockholdersEquity,0000909832-20-000017,USD,True,13305000000.0,7657000000.0,6051000000.0,0.2437115707098938,12636000000.0,4110427613.191727,0.32529499946120033,5435000000.0,False,0.0362854624282656,1.5119940029985008,True,True,COST,0000909832,ticker:COST,24
2018,141576000000.0,Revenues,0000909832-18-000013,USD,True,3134000000.0,NetIncomeLoss,0000909832-18-000013,USD,True,,,,,False,2969000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-18-000013,USD,True,4480000000.0,OperatingIncomeLoss,0000909832-18-000013,USD,True,159000000.0,InterestExpense,0000909832-18-000013,USD,True,1263000000.0,IncomeTaxExpenseBenefit,0000909832-18-000013,USD,True,0.284,EffectiveIncomeTaxRateContinuingOperations,0000909832-18-000013,pure,True,4442000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-18-000013,USD,True,6055000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-18-000013,USD,True,1204000000.0,ShortTermInvestments,0000909832-18-000013,USD,True,6577000000.0,LongTermDebt,0000909832-18-000013,USD,True,90000000.0,FinanceLeaseLiabilityCurrent,0000909832-18-000013,USD,True,6487000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-18-000013,USD,True,12799000000.0,StockholdersEquity,0000909832-18-000013,USD,True,7259000000.0,6577000000.0,,0.2843313822602431,12117000000.0,3206195407.474111,0.2646030706836767,4480000000.0,False,,,True,False,COST,0000909832,ticker:COST,24
2017,129025000000.0,Revenues,0000909832-17-000014,USD,True,2679000000.0,NetIncomeLoss,0000909832-17-000014,USD,True,,,,,False,2502000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-17-000014,USD,True,4111000000.0,OperatingIncomeLoss,0000909832-17-000014,USD,True,134000000.0,InterestExpense,0000909832-17-000014,USD,True,1325000000.0,IncomeTaxExpenseBenefit,0000909832-17-000014,USD,True,0.328,EffectiveIncomeTaxRateContinuingOperations,0000909832-17-000014,pure,True,4039000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-17-000014,USD,True,4546000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-17-000014,USD,True,1233000000.0,ShortTermInvestments,0000909832-17-000014,USD,True,6659000000.0,LongTermDebt,0000909832-17-000014,USD,True,86000000.0,FinanceLeaseLiabilityCurrent,0000909832-17-000014,USD,True,6573000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-17-000014,USD,True,10778000000.0,StockholdersEquity,0000909832-17-000014,USD,True,5779000000.0,6659000000.0,,0.3280514978955187,11658000000.0,2762380292.1515226,0.23695147470848538,4111000000.0,False,,,True,False,COST,0000909832,ticker:COST,24
2016,118719000000.0,Revenues,0000909832-16-000032,USD,True,2350000000.0,NetIncomeLoss,0000909832-16-000032,USD,True,,,,,False,2649000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-16-000032,USD,True,3672000000.0,OperatingIncomeLoss,0000909832-16-000032,USD,True,133000000.0,InterestExpense,0000909832-16-000032,USD,True,1243000000.0,IncomeTaxExpenseBenefit,0000909832-16-000032,USD,True,0.343,EffectiveIncomeTaxRateContinuingOperations,0000909832-16-000032,pure,True,3619000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-16-000032,USD,True,3379000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-16-000032,USD,True,1350000000.0,ShortTermInvestments,0000909832-16-000032,USD,True,5161000000.0,LongTermDebt,0000909832-16-000032,USD,True,1100000000.0,FinanceLeaseLiabilityCurrent,0000909832-16-000032,USD,True,4061000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-16-000032,USD,True,12079000000.0,StockholdersEquity,0000909832-16-000032,USD,True,4729000000.0,5161000000.0,,0.3434650455927052,12511000000.0,2410796352.5835867,0.19269413736580504,3672000000.0,False,,,True,False,COST,0000909832,ticker:COST,24
2015,116199000000.0,Revenues,0000909832-15-000014,USD,True,2377000000.0,NetIncomeLoss,0000909832-15-000014,USD,True,,,,,False,2393000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000909832-15-000014,USD,True,3624000000.0,OperatingIncomeLoss,0000909832-15-000014,USD,True,124000000.0,InterestExpense,0000909832-15-000014,USD,True,1195000000.0,IncomeTaxExpenseBenefit,0000909832-15-000014,USD,True,0.332,EffectiveIncomeTaxRateContinuingOperations,0000909832-15-000014,pure,True,3604000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000909832-15-000014,USD,True,4801000000.0,CashAndCashEquivalentsAtCarryingValue,0000909832-15-000014,USD,True,1618000000.0,ShortTermInvestments,0000909832-15-000014,USD,True,6147000000.0,LongTermDebt,0000909832-15-000014,USD,True,1283000000.0,FinanceLeaseLiabilityCurrent,0000909832-15-000014,USD,True,4864000000.0,FinanceLeaseLiabilityNoncurrent,0000909832-15-000014,USD,True,10617000000.0,StockholdersEquity,0000909832-15-000014,USD,True,6419000000.0,6147000000.0,,0.3315760266370699,10345000000.0,2422368479.4672585,0.23415838370877318,3624000000.0,False,,,True,False,COST,0000909832,ticker:COST,24
