year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,94193000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-26-000016,USD,True,26804000000.0,NetIncomeLoss,0000200406-26-000016,USD,True,24530000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-26-000016,USD,True,4832000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-26-000016,USD,True,,,,,False,,,,,False,5777000000.0,IncomeTaxExpenseBenefit,0000200406-26-000016,USD,True,0.177,EffectiveIncomeTaxRateContinuingOperations,0000200406-26-000016,pure,True,32581000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-26-000016,USD,True,19709000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-26-000016,USD,True,,,,,False,41438000000.0,LongTermDebt,0000200406-26-000016,USD,True,8500000000.0,DebtCurrent,0000200406-26-000016,USD,True,39438000000.0,LongTermDebtNoncurrent,0000200406-26-000016,USD,True,81544000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-26-000016,USD,True,19709000000.0,41438000000.0,19698000000.0,0.177311930266106,103273000000.0,,,,False,0.2091238202414192,0.7348903148783764,False,True,JNJ,0000200406,ticker:JNJ,21
2024,88821000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-25-000038,USD,True,14066000000.0,NetIncomeLoss,0000200406-25-000038,USD,True,24266000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-25-000038,USD,True,4424000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-25-000038,USD,True,,,,,False,,,,,False,2621000000.0,IncomeTaxExpenseBenefit,0000200406-25-000038,USD,True,0.157,EffectiveIncomeTaxRateContinuingOperations,0000200406-25-000038,pure,True,16687000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-25-000038,USD,True,24105000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-25-000038,USD,True,,,,,False,32400000000.0,LongTermDebt,0000200406-25-000038,USD,True,6000000000.0,DebtCurrent,0000200406-25-000038,USD,True,30651000000.0,LongTermDebtNoncurrent,0000200406-25-000038,USD,True,71490000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-25-000038,USD,True,24105000000.0,32400000000.0,19842000000.0,0.1570683765805717,79785000000.0,,,,False,0.2233931164927213,1.4106355751457416,False,True,JNJ,0000200406,ticker:JNJ,21
2023,85159000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-24-000013,USD,True,35153000000.0,NetIncomeLoss,0000200406-24-000013,USD,True,22791000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-24-000013,USD,True,4543000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-24-000013,USD,True,,,,,False,772000000.0,InterestExpense,0000200406-24-000013,USD,True,1736000000.0,IncomeTaxExpenseBenefit,0000200406-24-000013,USD,True,0.115,EffectiveIncomeTaxRateContinuingOperations,0000200406-24-000013,pure,True,15062000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-24-000013,USD,True,21859000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-24-000013,USD,True,,,,,False,27350000000.0,LongTermDebt,0000200406-24-000013,USD,True,3500000000.0,DebtCurrent,0000200406-24-000013,USD,True,25881000000.0,LongTermDebtNoncurrent,0000200406-24-000013,USD,True,68774000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-24-000013,USD,True,21859000000.0,27350000000.0,18248000000.0,0.11525693798964282,74265000000.0,14009021643.871994,0.18863558397457744,15834000000.0,True,0.2142815204499818,0.5191022103376668,True,True,JNJ,0000200406,ticker:JNJ,21
2022,94943000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-23-000016,USD,True,17941000000.0,NetIncomeLoss,0000200406-23-000016,USD,True,21194000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-23-000016,USD,True,4009000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-23-000016,USD,True,,,,,False,276000000.0,InterestExpense,0000200406-23-000016,USD,True,3784000000.0,IncomeTaxExpenseBenefit,0000200406-23-000016,USD,True,0.174,EffectiveIncomeTaxRateContinuingOperations,0000200406-23-000016,pure,True,21725000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-23-000016,USD,True,14127000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-23-000016,USD,True,,,,,False,28439000000.0,LongTermDebt,0000200406-23-000016,USD,True,12800000000.0,DebtCurrent,0000200406-23-000016,USD,True,26888000000.0,LongTermDebtNoncurrent,0000200406-23-000016,USD,True,76804000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-23-000016,USD,True,14127000000.0,28439000000.0,17185000000.0,0.17417721518987342,91116000000.0,18168927088.607597,0.19940435366574036,22001000000.0,True,0.1810033388454125,0.9578618806086617,True,True,JNJ,0000200406,ticker:JNJ,21
2021,93775000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-22-000022,USD,True,20878000000.0,NetIncomeLoss,0000200406-22-000022,USD,True,23410000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-22-000022,USD,True,3652000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-22-000022,USD,True,,,,,False,183000000.0,InterestExpense,0000200406-22-000022,USD,True,1898000000.0,IncomeTaxExpenseBenefit,0000200406-22-000022,USD,True,0.083,EffectiveIncomeTaxRateContinuingOperations,0000200406-22-000022,pure,True,22776000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-22-000022,USD,True,14487000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-22-000022,USD,True,,,,,False,32116000000.0,LongTermDebt,0000200406-22-000022,USD,True,3800000000.0,DebtCurrent,0000200406-22-000022,USD,True,29985000000.0,LongTermDebtNoncurrent,0000200406-22-000022,USD,True,74023000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-22-000022,USD,True,14487000000.0,32116000000.0,19758000000.0,0.08333333333333333,91652000000.0,21045750000.0,0.22962674027844454,22959000000.0,True,0.21069581444948013,0.9463550148481655,True,True,JNJ,0000200406,ticker:JNJ,21
2020,82584000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-21-000008,USD,True,14714000000.0,NetIncomeLoss,0000200406-21-000008,USD,True,23536000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-21-000008,USD,True,3347000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-21-000008,USD,True,,,,,False,201000000.0,InterestExpense,0000200406-21-000008,USD,True,1783000000.0,IncomeTaxExpenseBenefit,0000200406-21-000008,USD,True,0.108,EffectiveIncomeTaxRateContinuingOperations,0000200406-21-000008,pure,True,16497000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-21-000008,USD,True,13985000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-21-000008,USD,True,11200000000.0,AvailableForSaleSecuritiesCurrent,0000200406-21-000008,USD,True,,,,,False,2600000000.0,DebtCurrent,0000200406-21-000008,USD,True,32635000000.0,LongTermDebtNoncurrent,0000200406-21-000008,USD,True,63278000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-21-000008,USD,True,25185000000.0,35235000000.0,20189000000.0,0.10808025701642723,73328000000.0,14893275868.339699,0.20310489674257717,16698000000.0,True,0.24446624043398238,1.372094603778714,True,True,JNJ,0000200406,ticker:JNJ,21
2019,82059000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-20-000010,USD,True,15119000000.0,NetIncomeLoss,0000200406-20-000010,USD,True,23416000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-20-000010,USD,True,3498000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-20-000010,USD,True,,,,,False,318000000.0,InterestExpense,0000200406-20-000010,USD,True,2209000000.0,IncomeTaxExpenseBenefit,0000200406-20-000010,USD,True,0.127,EffectiveIncomeTaxRateContinuingOperations,0000200406-20-000010,pure,True,17328000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-20-000010,USD,True,17305000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-20-000010,USD,True,1982000000.0,AvailableForSaleSecuritiesCurrent,0000200406-20-000010,USD,True,,,,,False,1200000000.0,DebtCurrent,0000200406-20-000010,USD,True,26494000000.0,LongTermDebtNoncurrent,0000200406-20-000010,USD,True,59471000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-20-000010,USD,True,19287000000.0,27694000000.0,19918000000.0,0.1274815327793167,67878000000.0,15396460872.576178,0.22682549386511355,17646000000.0,True,0.2427277934169317,1.3174151729611747,True,True,JNJ,0000200406,ticker:JNJ,21
2018,81581000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000200406-19-000009,USD,True,15297000000.0,NetIncomeLoss,0000200406-19-000009,USD,True,22201000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-19-000009,USD,True,3670000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-19-000009,USD,True,,,,,False,1005000000.0,InterestExpense,0000200406-19-000009,USD,True,2702000000.0,IncomeTaxExpenseBenefit,0000200406-19-000009,USD,True,0.15,EffectiveIncomeTaxRateContinuingOperations,0000200406-19-000009,pure,True,17999000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-19-000009,USD,True,18107000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-19-000009,USD,True,1580000000.0,AvailableForSaleSecuritiesCurrent,0000200406-19-000009,USD,True,,,,,False,2800000000.0,DebtCurrent,0000200406-19-000009,USD,True,27684000000.0,LongTermDebtNoncurrent,0000200406-19-000009,USD,True,59752000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-19-000009,USD,True,19687000000.0,30484000000.0,18531000000.0,0.15011945108061558,70549000000.0,16151129951.66398,0.22893492397715035,19004000000.0,True,0.22714847819958078,1.2114140027456364,True,True,JNJ,0000200406,ticker:JNJ,21
2017,,,,,False,1300000000.0,NetIncomeLoss,0000200406-18-000005,USD,True,21056000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-18-000005,USD,True,3279000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-18-000005,USD,True,,,,,False,934000000.0,InterestExpense,0000200406-18-000005,USD,True,16373000000.0,IncomeTaxExpenseBenefit,0000200406-18-000005,USD,True,0.926,EffectiveIncomeTaxRateContinuingOperations,0000200406-18-000005,pure,True,17673000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-18-000005,USD,True,17824000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-18-000005,USD,True,472000000.0,AvailableForSaleSecuritiesCurrent,0000200406-18-000005,USD,True,,,,,False,3900000000.0,DebtCurrent,0000200406-18-000005,USD,True,30675000000.0,LongTermDebtNoncurrent,0000200406-18-000005,USD,True,60160000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-18-000005,USD,True,18296000000.0,34575000000.0,17777000000.0,0.9264414643806937,76439000000.0,1368703672.2684314,0.017905829122155333,18607000000.0,True,,13.674615384615384,True,False,JNJ,0000200406,ticker:JNJ,21
2016,,,,,False,16540000000.0,NetIncomeLoss,0000200406-17-000006,USD,True,18767000000.0,NetCashProvidedByUsedInOperatingActivities,0000200406-17-000006,USD,True,3226000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000200406-17-000006,USD,True,,,,,False,726000000.0,InterestExpense,0000200406-17-000006,USD,True,3263000000.0,IncomeTaxExpenseBenefit,0000200406-17-000006,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0000200406-17-000006,pure,True,19803000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000200406-17-000006,USD,True,18972000000.0,CashAndCashEquivalentsAtCarryingValue,0000200406-17-000006,USD,True,22935000000.0,AvailableForSaleSecuritiesCurrent,0000200406-17-000006,USD,True,,,,,False,4700000000.0,DebtCurrent,0000200406-17-000006,USD,True,22442000000.0,LongTermDebtNoncurrent,0000200406-17-000006,USD,True,70418000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000200406-17-000006,USD,True,41907000000.0,27142000000.0,15541000000.0,0.16477301418976922,55653000000.0,17146374791.698229,0.3080943487628381,20529000000.0,True,,0.9396009673518743,True,False,JNJ,0000200406,ticker:JNJ,21
