year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,8.3,,
2025,68040000000.00001,-46.98,,-17.74,22650000000.0,80980000000.0,142150000000.0,26190000000.0,-0.755,115960000000.0,270000000.0,6.21,0.1815,0.4715
2024,58510000000.0,2.7,1600000000.0,2.74,22980000000.0,73110000000.0,134620000000.0,32360000000.0,16.5,102250000000.0,280000000.0,4.12,0.2404,0.4347
2023,57890000000.0,8.97,3130000000.0,5.42,22420000000.0,71940000000.0,134770000000.00002,33860000000.0,3.78,100900000000.0,270000000.0,0.74,0.2059,0.3521
2022,49690000000.0,-1.39,2280000000.0,4.59,22730000000.0,67319999999.99999,126880000000.0,31840000000.0,-20.4,95040000000.0,270000000.0,0.0,0.1944,0.3034
2021,47170000000.0,3.68,1260000000.0,2.69,25840000000.0,69010000000.0,128810000000.0,31590000000.0,7.45,97220000000.0,270000000.0,0.0,0.2135,0.3188
2020,53470000000.0,-36.3,,-17.54,26380000000.0,78120000000.0,142350000000.0,31160000000.0,-0.902,111180000000.0,270000000.0,0.0,0.2395,0.411
2019,62210000000.0,-0.58,1650000000.0,2.65,17710000000.0,64709999999.99999,136850000000.0,39570000000.0,-66.6,97280000000.0,270000000.0,9.24,0.2211,0.3476
2018,65680000000.00001,14.0,4770000000.0,7.27,17320000000.0,59960000000.0,131550000000.00002,41280000000.0,3.23,90270000000.0,260000000.0,7.63,0.2761,0.4394
2017,70510000000.0,23.07,7450000000.0,10.57,17670000000.0,59530000000.0,131860000000.00002,40400000000.0,2.97,91450000000.0,270000000.0,4.6,0.411,0.7171
2016,53900000000.0,13.22,4830000000.0,8.97,15070000000.0,47410000000.0,107760000000.0,32520000000.000004,5.01,75230000000.0,270000000.0,3.62,0.4844,0.8027
2015,49560000000.0,11.32,3630000000.0,7.34,15630000000.0,43320000000.0,99060000000.0,31130000000.0,6.35,67930000000.00001,270000000.0,2.64,0.597,0.9504
2014,49930000000.0,8.42,2590000000.0,5.2,15570000000.0,43060000000.0,99180000000.0,30280000000.0,5.34,68900000000.0,270000000.0,3.81,0.4322,0.7127
2013,56520000000.0,2.97,1550000000.0,2.76,16290000000.0,45620000000.0,103560000000.0,32049999999.999996,14.2,71500000000.0,270000000.0,4.05,0.4169,0.7351
2012,54590000000.0,8.61,3020000000.0,5.53,15010000000.0,42890000000.0,99750000000.0,32470000000.0,3.32,67280000000.0,270000000.0,4.09,0.2875,0.4834
