year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,41020000000.0,32.02,14520000000.0,,,,,,,,380000000.0,0.42,16.9,
2025,37670000000.0,28.52,13020000000.0,34.92,15640000000.0,5150000000.0,59400000000.0,23030000000.0,37.5,36360000000.0,380000000.0,0.69,12.0,19.6
2024,30360000000.0,20.67,9680000000.0,31.99,13250000000.0,4870000000.0,50560000000.0,19220000000.0,33.4,31330000000.0,390000000.0,0.97,9.24,14.6
2023,29920000000.0,21.62,10030000000.0,32.96,7740000000.0,5120000000.0,44170000000.0,14870000000.0,34.6,29300000000.0,390000000.0,0.86,9.98,20.1
2022,22150000000.0,14.76,6790000000.0,30.49,7910000000.0,4570000000.0,38930000000.0,9450000000.0,36.2,29480000000.0,390000000.0,1.24,9.94,23.3
2021,21590000000.0,16.67,7570000000.0,36.03,8590000000.0,5190000000.0,34229999999.999996,11480000000.0,46.1,22750000000.0,400000000.0,0.51,15.1,28.3
2020,16300000000.0,9.99,4760000000.0,28.73,9040000000.0,5750000000.0,33530000000.0,17050000000.0,46.9,16480000000.0,410000000.0,0.61,12.6,12.0
2019,13190000000.0,6.88,3110000000.0,23.4,5280000000.0,3480000000.0,25350000000.0,14100000000.0,41.0,11240000000.0,420000000.0,1.26,9.4,8.79
2018,12830000000.0,7.15,3480000000.0,26.84,4610000000.0,3460000000.0,23030000000.0,13310000000.0,20.4,9710000000.0,420000000.0,1.18,5.15,4.96
2017,10420000000.0,5.68,2760000000.0,26.66,3940000000.0,3620000000.0,21820000000.0,12930000000.0,28.4,8890000000.0,420000000.0,0.81,7.16,5.77
2016,7480000000.0,3.78,1710000000.0,26.07,4260000000.0,3490000000.0,18090000000.0,10320000000.0,27.3,7760000000.0,420000000.0,1.11,6.38,4.63
2015,6910000000.0,3.54,1620000000.0,24.63,3720000000.0,1230000000.0,14530000000.0,9170000000.0,22.8,5360000000.0,420000000.0,1.01,5.69,4.29
2014,7660000000.0,,1570000000.0,21.75,3340000000.0,1400000000.0,14840000000.0,9130000000.0,,5700000000.0,430000000.0,0.86,6.15,5.16
2013,7020000000.0,3.16,1320000000.0,19.51,4150000000.0000005,1480000000.0,15900000000.0,9550000000.0,26.5,6340000000.0,440000000.0,0.84,5.9,4.33
2012,6150000000.0,3.51,1500000000.0,24.32,3560000000.0,1000000000.0,9800000000.0,5370000000.0,16.2,4420000000.0,450000000.0,22.2,4.2,4.8
