year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,200966000000.0,Revenues,0001628280-26-003942,USD,True,60458000000.0,NetIncomeLoss,0001628280-26-003942,USD,True,115800000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-26-003942,USD,True,69691000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-003942,USD,True,83276000000.0,OperatingIncomeLoss,0001628280-26-003942,USD,True,1090000000.0,InterestExpense,0001628280-26-003942,USD,True,25474000000.0,IncomeTaxExpenseBenefit,0001628280-26-003942,USD,True,0.296,EffectiveIncomeTaxRateContinuingOperations,0001628280-26-003942,pure,True,85932000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-26-003942,USD,True,35873000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-26-003942,USD,True,,,,,False,58744000000.0,LongTermDebt,0001628280-26-003942,USD,True,308000000.0,FinanceLeaseLiabilityCurrent,0001628280-26-003942,USD,True,876000000.0,FinanceLeaseLiabilityNoncurrent,0001628280-26-003942,USD,True,217243000000.0,StockholdersEquity,0001628280-26-003942,USD,True,35873000000.0,58744000000.0,46109000000.0,0.2964436996695061,240114000000.0,58589354466.322205,0.2440064072329069,83276000000.0,False,0.2294368201586338,0.7626616824903238,True,True,META,0001326801,ticker:META,14
2024,164501000000.0,Revenues,0001326801-25-000017,USD,True,62360000000.0,NetIncomeLoss,0001326801-25-000017,USD,True,91328000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-25-000017,USD,True,37256000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-25-000017,USD,True,69380000000.0,OperatingIncomeLoss,0001326801-25-000017,USD,True,683000000.0,InterestExpense,0001326801-25-000017,USD,True,8303000000.0,IncomeTaxExpenseBenefit,0001326801-25-000017,USD,True,0.118,EffectiveIncomeTaxRateContinuingOperations,0001326801-25-000017,pure,True,70663000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-25-000017,USD,True,43889000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-25-000017,USD,True,,,,,False,28826000000.0,LongTermDebt,0001326801-25-000017,USD,True,76000000.0,FinanceLeaseLiabilityCurrent,0001326801-25-000017,USD,True,633000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-25-000017,USD,True,182637000000.0,StockholdersEquity,0001326801-25-000017,USD,True,43889000000.0,28826000000.0,54072000000.0,0.11750137978857393,167574000000.0,61227754270.268745,0.36537741099614945,69380000000.0,False,0.3287031689776962,0.8670942912123156,True,True,META,0001326801,ticker:META,14
2023,134902000000.0,Revenues,0001326801-24-000012,USD,True,39098000000.0,NetIncomeLoss,0001326801-24-000012,USD,True,71113000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-24-000012,USD,True,27266000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-24-000012,USD,True,46751000000.0,OperatingIncomeLoss,0001326801-24-000012,USD,True,446000000.0,InterestExpense,0001326801-24-000012,USD,True,8330000000.0,IncomeTaxExpenseBenefit,0001326801-24-000012,USD,True,0.176,EffectiveIncomeTaxRateContinuingOperations,0001326801-24-000012,pure,True,47428000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-24-000012,USD,True,41862000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-24-000012,USD,True,,,,,False,18385000000.0,LongTermDebt,0001326801-24-000012,USD,True,90000000.0,FinanceLeaseLiabilityCurrent,0001326801-24-000012,USD,True,600000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-24-000012,USD,True,153168000000.0,StockholdersEquity,0001326801-24-000012,USD,True,41862000000.0,18385000000.0,43847000000.0,0.17563464620055663,129691000000.0,38539904655.477776,0.2971671484950982,46751000000.0,False,0.32502853923588976,1.121464013504527,True,True,META,0001326801,ticker:META,14
2022,116609000000.0,Revenues,0001326801-23-000013,USD,True,23200000000.0,NetIncomeLoss,0001326801-23-000013,USD,True,50475000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-23-000013,USD,True,31431000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-23-000013,USD,True,28944000000.0,OperatingIncomeLoss,0001326801-23-000013,USD,True,,,,,False,5619000000.0,IncomeTaxExpenseBenefit,0001326801-23-000013,USD,True,0.195,EffectiveIncomeTaxRateContinuingOperations,0001326801-23-000013,pure,True,28819000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-23-000013,USD,True,14681000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-23-000013,USD,True,,,,,False,,,,,False,129000000.0,FinanceLeaseLiabilityCurrent,0001326801-23-000013,USD,True,558000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-23-000013,USD,True,125713000000.0,StockholdersEquity,0001326801-23-000013,USD,True,14681000000.0,687000000.0,19044000000.0,0.19497553697213643,111719000000.0,23300628057.878483,0.20856459561827875,28944000000.0,False,0.16331500999065252,0.8208620689655173,True,True,META,0001326801,ticker:META,14
2021,117929000000.0,Revenues,0001326801-22-000018,USD,True,39370000000.0,NetIncomeLoss,0001326801-22-000018,USD,True,57683000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-22-000018,USD,True,18567000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-22-000018,USD,True,46753000000.0,OperatingIncomeLoss,0001326801-22-000018,USD,True,,,,,False,7914000000.0,IncomeTaxExpenseBenefit,0001326801-22-000018,USD,True,0.167,EffectiveIncomeTaxRateContinuingOperations,0001326801-22-000018,pure,True,47284000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-22-000018,USD,True,16601000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-22-000018,USD,True,,,,,False,,,,,False,75000000.0,FinanceLeaseLiabilityCurrent,0001326801-22-000018,USD,True,506000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-22-000018,USD,True,124879000000.0,StockholdersEquity,0001326801-22-000018,USD,True,16601000000.0,581000000.0,39116000000.0,0.16737162676592504,108859000000.0,38927874333.812706,0.35759904402771203,46753000000.0,False,0.3316911022734018,0.9935483870967742,True,True,META,0001326801,ticker:META,14
2020,85965000000.0,Revenues,0001326801-21-000014,USD,True,29146000000.0,NetIncomeLoss,0001326801-21-000014,USD,True,38747000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-21-000014,USD,True,15115000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-21-000014,USD,True,32671000000.0,OperatingIncomeLoss,0001326801-21-000014,USD,True,,,,,False,4034000000.0,IncomeTaxExpenseBenefit,0001326801-21-000014,USD,True,0.122,EffectiveIncomeTaxRateContinuingOperations,0001326801-21-000014,pure,True,33180000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-21-000014,USD,True,17576000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-21-000014,USD,True,,,,,False,,,,,False,54000000.0,FinanceLeaseLiabilityCurrent,0001326801-21-000014,USD,True,469000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-21-000014,USD,True,128290000000.0,StockholdersEquity,0001326801-21-000014,USD,True,17576000000.0,523000000.0,23632000000.0,0.12157926461723931,111237000000.0,28698883845.690174,0.25799764328137376,32671000000.0,False,0.2749025766300238,0.8108145200027448,True,True,META,0001326801,ticker:META,14
2019,70697000000.0,Revenues,0001326801-20-000013,USD,True,18485000000.0,NetIncomeLoss,0001326801-20-000013,USD,True,36314000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-20-000013,USD,True,15102000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-20-000013,USD,True,23986000000.0,OperatingIncomeLoss,0001326801-20-000013,USD,True,20000000.0,InterestExpense,0001326801-20-000013,USD,True,6327000000.0,IncomeTaxExpenseBenefit,0001326801-20-000013,USD,True,0.255,EffectiveIncomeTaxRateContinuingOperations,0001326801-20-000013,pure,True,24812000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-20-000013,USD,True,19079000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-20-000013,USD,True,,,,,False,,,,,False,55000000.0,FinanceLeaseLiabilityCurrent,0001326801-20-000013,USD,True,418000000.0,FinanceLeaseLiabilityNoncurrent,0001326801-20-000013,USD,True,101054000000.0,StockholdersEquity,0001326801-20-000013,USD,True,19079000000.0,473000000.0,21212000000.0,0.2549975818152507,82448000000.0,17869628002.5794,0.2167381622668761,23986000000.0,False,0.30004102012815254,1.1475250202867189,True,True,META,0001326801,ticker:META,14
2018,55838000000.0,Revenues,0001326801-19-000009,USD,True,22112000000.0,NetIncomeLoss,0001326801-19-000009,USD,True,29274000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-19-000009,USD,True,13915000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-19-000009,USD,True,24913000000.0,OperatingIncomeLoss,0001326801-19-000009,USD,True,9000000.0,InterestExpense,0001326801-19-000009,USD,True,3249000000.0,IncomeTaxExpenseBenefit,0001326801-19-000009,USD,True,0.128,EffectiveIncomeTaxRateContinuingOperations,0001326801-19-000009,pure,True,25361000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-19-000009,USD,True,10019000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-19-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,84127000000.0,StockholdersEquity,0001326801-19-000009,USD,True,10019000000.0,,15359000000.0,0.12811009029612397,,,,24913000000.0,False,0.2750635767756725,0.6946002170767004,False,True,META,0001326801,ticker:META,14
2017,40653000000.0,Revenues,0001326801-18-000009,USD,True,15934000000.0,NetIncomeLoss,0001326801-18-000009,USD,True,24216000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-18-000009,USD,True,6733000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-18-000009,USD,True,20203000000.0,OperatingIncomeLoss,0001326801-18-000009,USD,True,6000000.0,InterestExpense,0001326801-18-000009,USD,True,4660000000.0,IncomeTaxExpenseBenefit,0001326801-18-000009,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0001326801-18-000009,pure,True,20594000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-18-000009,USD,True,8079000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-18-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,74347000000.0,StockholdersEquity,0001326801-18-000009,USD,True,8079000000.0,,17483000000.0,0.22627949888316987,,,,20203000000.0,False,0.43005436253167045,1.0972135057110581,False,True,META,0001326801,ticker:META,14
2016,27638000000.0,Revenues,0001326801-17-000007,USD,True,10217000000.0,NetIncomeLoss,0001326801-17-000007,USD,True,16108000000.0,NetCashProvidedByUsedInOperatingActivities,0001326801-17-000007,USD,True,4491000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-17-000007,USD,True,12427000000.0,OperatingIncomeLoss,0001326801-17-000007,USD,True,10000000.0,InterestExpense,0001326801-17-000007,USD,True,2301000000.0,IncomeTaxExpenseBenefit,0001326801-17-000007,USD,True,0.184,EffectiveIncomeTaxRateContinuingOperations,0001326801-17-000007,pure,True,12518000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001326801-17-000007,USD,True,8903000000.0,CashAndCashEquivalentsAtCarryingValue,0001326801-17-000007,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,59194000000.0,StockholdersEquity,0001326801-17-000007,USD,True,8903000000.0,,11617000000.0,0.18381530595941845,,,,12427000000.0,False,0.4203270858962298,1.1370265244200841,False,True,META,0001326801,ticker:META,14
