year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,accession_count_from_links
2025,18831000000.0,Revenues,0000896878-25-000035,USD,False,3869000000.0,NetIncomeLoss,0000896878-25-000035,USD,False,6207000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-25-000035,USD,False,84000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-25-000035,USD,False,4923000000.0,OperatingIncomeLoss,0000896878-25-000035,USD,False,965000000.0,IncomeTaxExpenseBenefit,0000896878-25-000035,USD,False,,,,,False,4834000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-25-000035,USD,False,2884000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-25-000035,USD,False,,,,,False,5973000000.0,LongTermDebt,0000896878-25-000035,USD,False,0.0,DebtCurrent,0000896878-25-000035,USD,False,5973000000.0,LongTermDebtNoncurrent,0000896878-25-000035,USD,False,19710000000.0,StockholdersEquity,0000896878-25-000035,USD,False,2884000000.0,5973000000.0,6123000000.0,0.19962763756723212,22799000000.0,3940233140.256516,0.17282482302980465,0.32515532897881155,1.5825794779012665,True,True,INTU,0000896878,0
2024,16285000000.0,Revenues,0000896878-24-000039,USD,False,2963000000.0,NetIncomeLoss,0000896878-24-000039,USD,False,4884000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-24-000039,USD,False,191000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-24-000039,USD,False,3630000000.0,OperatingIncomeLoss,0000896878-24-000039,USD,False,587000000.0,IncomeTaxExpenseBenefit,0000896878-24-000039,USD,False,,,,,False,3550000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-24-000039,USD,False,3609000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-24-000039,USD,False,,,,,False,6038000000.0,LongTermDebt,0000896878-24-000039,USD,False,499000000.0,DebtCurrent,0000896878-24-000039,USD,False,5539000000.0,LongTermDebtNoncurrent,0000896878-24-000039,USD,False,18436000000.0,StockholdersEquity,0000896878-24-000039,USD,False,3609000000.0,6038000000.0,4693000000.0,0.16535211267605635,20865000000.0,3029771830.9859157,0.14520833122386367,0.2881793061099171,1.5838677016537293,True,True,INTU,0000896878,0
2023,14368000000.0,Revenues,0000896878-23-000034,USD,False,2384000000.0,NetIncomeLoss,0000896878-23-000034,USD,False,5046000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-23-000034,USD,False,210000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-23-000034,USD,False,3141000000.0,OperatingIncomeLoss,0000896878-23-000034,USD,False,605000000.0,IncomeTaxExpenseBenefit,0000896878-23-000034,USD,False,,,,,False,2989000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-23-000034,USD,False,2848000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-23-000034,USD,False,,,,,False,6120000000.0,LongTermDebt,0000896878-23-000034,USD,False,0.0,DebtCurrent,0000896878-23-000034,USD,False,6120000000.0,LongTermDebtNoncurrent,0000896878-23-000034,USD,False,17269000000.0,StockholdersEquity,0000896878-23-000034,USD,False,2848000000.0,6120000000.0,4836000000.0,0.20240883238541318,20541000000.0,2505233857.477417,0.12196260442419633,0.3365812917594655,2.028523489932886,True,True,INTU,0000896878,0
2022,12726000000.0,Revenues,0000896878-22-000028,USD,False,2066000000.0,NetIncomeLoss,0000896878-22-000028,USD,False,3889000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-22-000028,USD,False,157000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-22-000028,USD,False,2571000000.0,OperatingIncomeLoss,0000896878-22-000028,USD,False,476000000.0,IncomeTaxExpenseBenefit,0000896878-22-000028,USD,False,,,,,False,2542000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-22-000028,USD,False,2796000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-22-000028,USD,False,,,,,False,6914000000.0,LongTermDebt,0000896878-22-000028,USD,False,499000000.0,DebtCurrent,0000896878-22-000028,USD,False,6415000000.0,LongTermDebtNoncurrent,0000896878-22-000028,USD,False,16441000000.0,StockholdersEquity,0000896878-22-000028,USD,False,2796000000.0,6914000000.0,3732000000.0,0.1872541306058222,20559000000.0,2089569630.2124312,0.10163770758365831,0.29325789721829326,1.8063891577928364,True,True,INTU,0000896878,0
2021,9633000000.0,Revenues,0000896878-21-000233,USD,False,2062000000.0,NetIncomeLoss,0000896878-21-000233,USD,False,3250000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-21-000233,USD,False,53000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-21-000233,USD,False,2500000000.0,OperatingIncomeLoss,0000896878-21-000233,USD,False,494000000.0,IncomeTaxExpenseBenefit,0000896878-21-000233,USD,False,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-21-000233,pure,False,2556000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-21-000233,USD,False,2562000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-21-000233,USD,False,,,,,False,2048000000.0,LongTermDebt,0000896878-21-000233,USD,False,0.0,DebtCurrent,0000896878-21-000233,USD,False,2034000000.0,LongTermDebtNoncurrent,0000896878-21-000233,USD,False,9869000000.0,StockholdersEquity,0000896878-21-000233,USD,False,2562000000.0,2048000000.0,3197000000.0,0.19327073552425664,9355000000.0,2016823161.1893582,0.21558772433878762,0.3318799958476072,1.5504364694471386,True,True,INTU,0000896878,0
2020,7679000000.0,Revenues,0000896878-20-000148,USD,False,1826000000.0,NetIncomeLoss,0000896878-20-000148,USD,False,2414000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-20-000148,USD,False,59000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-20-000148,USD,False,2176000000.0,OperatingIncomeLoss,0000896878-20-000148,USD,False,372000000.0,IncomeTaxExpenseBenefit,0000896878-20-000148,USD,False,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-20-000148,pure,False,2198000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-20-000148,USD,False,6442000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-20-000148,USD,False,,,,,False,2048000000.0,LongTermDebt,0000896878-20-000148,USD,False,1338000000.0,DebtCurrent,0000896878-20-000148,USD,False,2031000000.0,LongTermDebtNoncurrent,0000896878-20-000148,USD,False,5106000000.0,StockholdersEquity,0000896878-20-000148,USD,False,6442000000.0,2048000000.0,2355000000.0,0.16924476797088261,712000000.0,1807723384.8953598,2.5389373383361793,0.30668055736424016,1.2897042716319824,True,True,INTU,0000896878,0
2019,6784000000.0,Revenues,0000896878-19-000132,USD,False,1557000000.0,NetIncomeLoss,0000896878-19-000132,USD,False,2324000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-19-000132,USD,False,76000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-19-000132,USD,False,1854000000.0,OperatingIncomeLoss,0000896878-19-000132,USD,False,324000000.0,IncomeTaxExpenseBenefit,0000896878-19-000132,USD,False,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-19-000132,pure,False,1881000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-19-000132,USD,False,2116000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-19-000132,USD,False,,,,,False,386000000.0,LongTermDebt,0000896878-19-000132,USD,False,50000000.0,DebtCurrent,0000896878-19-000132,USD,False,,,,,False,3749000000.0,StockholdersEquity,0000896878-19-000132,USD,False,2116000000.0,386000000.0,2248000000.0,0.1722488038277512,2019000000.0,1534650717.7033494,0.7601043673617381,0.3313679245283019,1.4438021836865766,True,True,INTU,0000896878,0
2018,5964000000.0,Revenues,0000896878-18-000171,USD,False,1211000000.0,NetIncomeLoss,0000896878-18-000171,USD,False,2112000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-18-000171,USD,False,38000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-18-000171,USD,False,1497000000.0,OperatingIncomeLoss,0000896878-18-000171,USD,False,292000000.0,IncomeTaxExpenseBenefit,0000896878-18-000171,USD,False,0.269,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-18-000171,pure,False,1503000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-18-000171,USD,False,1464000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-18-000171,USD,False,,,,,False,388000000.0,LongTermDebt,0000896878-18-000171,USD,False,50000000.0,DebtCurrent,0000896878-18-000171,USD,False,,,,,False,2354000000.0,StockholdersEquity,0000896878-18-000171,USD,False,1464000000.0,388000000.0,2074000000.0,0.19427811044577512,1278000000.0,1206165668.6626747,0.9437916030224371,0.3477531857813548,1.712634186622626,True,True,INTU,0000896878,0
2017,5177000000.0,Revenues,0000896878-17-000130,USD,False,971000000.0,NetIncomeLoss,0000896878-17-000130,USD,False,1599000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-17-000130,USD,False,102000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-17-000130,USD,False,1395000000.0,OperatingIncomeLoss,0000896878-17-000130,USD,False,396000000.0,IncomeTaxExpenseBenefit,0000896878-17-000130,USD,False,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-17-000130,pure,False,1367000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-17-000130,USD,False,529000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-17-000130,USD,False,,,,,False,438000000.0,LongTermDebt,0000896878-17-000130,USD,False,50000000.0,DebtCurrent,0000896878-17-000130,USD,False,,,,,False,1354000000.0,StockholdersEquity,0000896878-17-000130,USD,False,529000000.0,438000000.0,1497000000.0,0.2896854425749817,1263000000.0,990888807.6079004,0.7845517083197945,0.2891636082673363,1.541709577754892,True,True,INTU,0000896878,0
2016,4694000000.0,Revenues,0000896878-16-000286,USD,False,979000000.0,NetIncomeLoss,0000896878-16-000286,USD,False,1401000000.0,NetCashProvidedByUsedInOperatingActivities,0000896878-16-000286,USD,False,416000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000896878-16-000286,USD,False,1242000000.0,OperatingIncomeLoss,0000896878-16-000286,USD,False,397000000.0,IncomeTaxExpenseBenefit,0000896878-16-000286,USD,False,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000896878-16-000286,pure,False,1203000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000896878-16-000286,USD,False,638000000.0,CashAndCashEquivalentsAtCarryingValue,0000896878-16-000286,USD,False,,,,,False,488000000.0,LongTermDebt,0000896878-16-000286,USD,False,512000000.0,DebtCurrent,0000896878-16-000286,USD,False,,,,,False,1161000000.0,StockholdersEquity,0000896878-16-000286,USD,False,638000000.0,488000000.0,985000000.0,0.33000831255195345,1011000000.0,832129675.8104738,0.8230758415533865,0.2098423519386451,1.0061287027579162,True,True,INTU,0000896878,0
