year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,742770000000.0,8.49,117990000000.0,,,,,,,,10740000000.0,2.88,
2025,716920000000.0,7.29,99580000000.0,13.57,123020000000.0,152980000000.0,818040000000.0,411060000000.0,31.7,406970000000.0,10700000000.0,3.38,5.89
2024,637950000000.0,5.65,71020000000.0,10.76,101200000000.0,130900000000.0,624890000000.0,285970000000.0,38.8,338920000000.0,10550000000.0,3.69,8.23
2023,574780000000.0,2.96,40730000000.0,6.53,86780000000.0,135610000000.00002,527850000000.0,201870000000.0,51.3,325970000000.0,10350000000.0,2.73,7.78
2022,513980000000.0,-0.27,,-1.15,70020000000.0,140110000000.0,462670000000.0,146040000000.0,-313.0,316630000000.0,10220000000.0,1.67,5.87
2021,469820000000.0,3.3,39960000000.0,8.12,96040000000.0,116390000000.0,420540000000.0,138240000000.0,50.6,282300000000.0,,3.6,12.2
2020,386060000000.0,2.13,25820000000.0,6.26,84390000000.0,84380000000.0,321190000000.0,93400000000.0,76.5,227790000000.0,,4.23,17.5
2019,280520000000.0,1.17,15570000000.0,4.98,55020000000.0,63200000000.0,225240000000.0,62060000000.0,78.8,163180000000.0,,3.28,14.8
2018,232880000000.0,1.03,12670000000.0,4.84,41250000000.0,33140000000.0,162640000000.0,43540000000.0,72.7,119090000000.0,,3.17,16.9
2017,177860000000.0,0.32,4650000000.0,2.14,30980000000.0,37920000000.0,131310000000.0,27700000000.0,185.0,103600000000.0,,3.17,20.3
2016,135979999999.99998,0.25,4370000000.0,2.86,25980000000.0,15210000000.0,83400000000.0,19280000000.0,150.0,64110000000.0,,2.62,18.5
2015,107000000000.0,0.064,2020000000.0,1.47,19800000000.0,14170000000.0,64739999999.99999,13380000000.0,528.0,51360000000.0,,2.97,23.8
2014,88980000000.0,-0.0265,98000000.0,-0.12,17410000000.0,12480000000.0,54500000000.0,10740000000.0,-586.0,43760000000.0,,1.62,13.4
2013,74450000000.0,0.0295,640000000.0,0.68,12440000000.0,5180000000.0,40150000000.0,9740000000.0,676.0,30410000000.0,,2.46,18.8
2012,61090000000.0,-0.004,630000000.0,0.89,11440000000.0,3830000000.0,32549999999.999996,8189999999.999999,,24360000000.0,,1.86,13.9
2011,48070000000.0,0.0695,990000000.0,1.94,9570000000.0,1410000000.0,25270000000.0,7750000000.0,125.0,17520000000.0,,1.64,10.1
2010,34200000000.000004,0.13,1530000000.0,4.38,8760000000.0,640000000.0,18790000000.0,6860000000.0,70.0,11930000000.0,,2.37,11.8
2009,24500000000.0,0.1,1190000000.0,4.74,6360000000.0,250000000.0,13810000000.0,5250000000.0,65.0,8550000000.000001,,2.44,11.4
2008,19160000000.0,,970000000.0,4.7,3720000000.0,400000000.0,8310000000.000001,2670000000.0,,5640000000.0,,1.15,8.23
2007,14830000000.0,,730000000.0,4.45,3110000000.0,1360000000.0,6480000000.0,1190000000.0,,5280000000.0,,2.6,32.2
2006,10710000000.0,,450000000.0,3.52,2009999999.9999998,1260000000.0,4360000000.0,430000000.0,,3930000000.0,,1.53,37.9
2005,8490000000.0,,520000000.0,5.04,2000000000.0,1480000000.0,3690000000.0,240000000.0,,3450000000.0,,2.31,79.7
2004,6920000000.0,,460000000.0,5.13,1770000000.0,1850000000.0,3240000000.0,,,3470000000.0,,2.62,-79.9
2003,5260000000.0,,160000000.0,0.74,1390000000.0,1940000000.0,2160000000.0,,,3190000000.0,,4.03,-20.5
2002,3930000000.0,,,-3.83,1300000000.0,2290000000.0,1990000000.0,,,3340000000.0,,1.86,-5.42
2001,3120000000.0,,,-16.86,990000000.0,2170000000.0,1630000000.0,,,3070000000.0,,1.29,
2000,2760000000.0,,,,1100000000.0,2140000000.0000002,,,,,,,
1999,1630000000.0,,,,700000000.0,1480000000.0,,,,,,,
1998,600000000.0,,,,370000000.0,340000000.0,,,,,,,
1997,140000000.0,,,,120000000.0,78200000.0,,,,,,,
1996,15700000.0,,,,6200000.0,,,,,,,,
